流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
782,初步勘验,（2026）京民初 0001号-北京市人民法院-初步勘验（2026年02月09日15:19）项目负责人,研发部,项目负责人,2026-02-09 15:19:08,2026-02-09 16:17:59,,已结束,流程图 点评 更多 恢复执行 编辑 删除
750,初步勘验,2025内12121-法院-初步勘验（2026年01月22日15:08）项目负责人,研发部,项目负责人,2026-01-22 15:08:41,,,执行中,流程图 点评 更多 催办 关注 结束 删除
697,初步勘验,{案件号}|[2]-{委托人}|[2]-初步勘验（2025年11月05日11:59）项目负责人,研发部,项目负责人,2025-11-05 11:59:26,,,执行中,流程图 点评 更多 催办 关注 结束 删除
695,初步勘验,{案件号}|[2]-{委托人}|[2]-初步勘验（2025年11月05日11:33）项目负责人,研发部,项目负责人,2025-11-05 11:33:15,,,执行中,流程图 点评 更多 催办 关注 结束 删除
685,初步勘验,{案件号}|[2]-{委托人}|[2]-初步勘验（2025年11月05日10:28）项目负责人,研发部,项目负责人,2025-11-05 10:28:35,,,执行中,流程图 点评 更多 催办 关注 结束 删除
678,初步勘验,test123-78989-初步勘验（2025年11月03日20:03）项目负责人,研发部,项目负责人,2025-11-03 20:03:40,2025-11-03 20:15:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
659,初步勘验,123asa-张三4-初步勘验（2025年10月30日21:21）项目负责人,研发部,项目负责人,2025-10-30 21:21:46,,,执行中,流程图 点评 更多 催办 关注 结束 删除
606,初步勘验,（2025）京民初 4455号-某某法院-初步勘验（2025年10月16日11:29）项目负责人,研发部,项目负责人,2025-10-16 11:29:20,2025-10-16 15:52:42,,已结束,流程图 点评 更多 恢复执行 编辑 删除
574,初步勘验,（2025）京民初 4455号-某某法院-初步勘验（2025年10月15日14:18）项目负责人,研发部,项目负责人,2025-10-15 14:18:26,,,执行中,流程图 点评 更多 催办 关注 结束 删除
535,初步勘验,案件号2-委托人2-初步勘验（2025年10月12日22:23）项目负责人,研发部,项目负责人,2025-10-12 22:23:30,2025-10-15 17:05:43,,已结束,流程图 点评 更多 恢复执行 编辑 删除
521,初步勘验,初步勘验（2025年10月12日21:21）项目负责人,研发部,项目负责人,2025-10-12 21:21:20,2025-10-12 22:00:33,,已结束,流程图 点评 更多 恢复执行 编辑 删除